id	abstract	label
608143	<TITLE>Cortical thickness measurements and photon absorptiometry for determination of bone quantity.</TITLE>Reproducibility of estimates of cortical bone quantity in the appendicular skeleton by two methods was studied in healthy individuals and patients undergoing long-term hemodialysis. Repeated measurements of cortical thickness (CT) at the midpoint of the second metacarpal were taken from single radiographs of both hands by two independent observers. Repeated measurements by the same observer were more reproducible and the degree of reproducibility was far greater in healthy subjects than in dialysis patients. Repeated measurements were made of bone mineral content (BMC) and bone width (W) of the distal radius by photon absorptiometry. Repeated BMC/W determinations were highly reproducible in both healthy subjects and dialysis patients. High correlation was found between BMC and cross-sectional cortical area and between both simple cortical thickness and cortical area/width. Thus the photon absorptiometric technique is superior for the serial monitoring of bone quantity, particularly in patients with uremic osteodystrophy, but results obtained by the two methods in group studies should be comparable.	No specific gene was perturbed in vivo
679705	<TITLE>Hemisphere differences in the recognition of nonsense shapes: cerebral dominance or strategy effects?</TITLE>A tachistoscopic visual half-field task involving delayed recognition of nonsense shapes did not prove to rely disproportionately on either cerebral hemisphere. However, subjects at either extreme of the laterality distribution were more accurate at recognition overall, relative to subjects displaying indeterminate laterality. These results are discussed in terms of subjects' preferred processing strategies and it is concluded that until we possess a detailed knowledge of task requirements and of subjects' strategies, the results of laterality studies will remain ambiguous.	No specific gene was perturbed in vivo
798058	<TITLE>Epistaxis and the nasostat.</TITLE>The most effective method of treating epistaxis is to identify and cauterize the bleeding vessel. If this cannot be done, other methods must be used. Anterior packs without a choanal plug are not reliable. Gauze posterior packs are traumatic and should not be used. The Foley chatheter with anterior gauze packs is quite satisfactory but the Nasostat, which can also be used with anterior packing when necessary, will, in most cases, control the bleeding without subjecting the patient to the discomfort of nasal packs. In addition, when used properly, it is safe and easily tolerated. The technique and its complications are described.	No specific gene was perturbed in vivo
814196	<TITLE>The adherence of human Fc receptor-bearing lymphocytes to antigen-antibody complexes. II. Morphologic alterations induced by the substrate.</TITLE>The adhesion of human Fc receptor-bearing lymphocytes to immobilized antigen-antibody complexes is accompanied by marked alterations in cell shape, resulting in flattening of greater than 90% of the adherent cells. In addition, about 65% of the adherent cells become elongated, with distinct uropods being present in about 1/3 of these cells. Scanning electron microscopy demonstrates that most of the surface microvilli are lost, while ruffled membranes and long microextensions are formed during the shape change. Time-lapse cinematography shows that the major shape changes occur within a few minutes after contact with the substrate, and that the adherent cells undergo translational motility. Both flattening and elongation of the adherent cells are inhibited by low temperature, chelating agents, cytochalasin B, and vinblastine, while sodium azide selectively inhibits elongation and uropod formation. It is argued that these morphological changes result from an active response of the cell to the immobilized complexes, and that such alterations may be related mechanistically to the ability of the cells to kill antibody-coated target cells.	No specific gene was perturbed in vivo
862625	<TITLE>Bioassay and radioimmunoassay of gastrin and significance of gastrin degradation products.</TITLE>Inactivation of gastrin was studied (a) in vitro by incubation with a high-speed supernatant fraction of rat small bowel mucosa and (b) in vivo by perfusing gastrin through the small bowel vascular bed in anaesthetized dogs. In both types of experiment there was a highly significant loss in the bioactivity of gastrin, but no significant change in its immunoreactivity. This showed that gastrin was inactivated by a subtle chemical change which rendered the molecule biologically inactive, yet left its immunoreactivity unimpaired.	No specific gene was perturbed in vivo
894655	<TITLE>A selective approach to outpatient breast biopsy under local anesthesia.</TITLE>Outpatient breast biopsy was recommended for women who had a clinically benign, relatively small, accessible breast mass and for a few women with clinical cancer who would not consent to biopsy and possible mastectomy under general anesthesia. Inpatient biopsy under general anesthesia, with possible immediate mastectomy, was recommended for women who had clinical cancer, a large mass or a mass deep within a large breast, and to a few women psychologically unfit for local anesthesia. The incidence of malignancy was 8% in the 153 outpatients and 45% in the 114 inpatients. The incidence of complications between the two groups was not significantly different. The total cost of inpatient biopsy under general anesthesia was over five times higher than that of outpatient biopsy under local anesthesia. Outpatient breast biopsy is a satisfactory approach for appropriately selected patients.	No specific gene was perturbed in vivo
945067	<TITLE>The effect of internal urethrotomy and urethral dilatation on the postoperative course of patients undergoing surgery for stress incontinence.</TITLE>Three years' experience of a total of 128 patients undergoing surgery for stress incontinence is described. Forty-three patients had an internal urethrotomy performed routinely at the end of the operation, 26 had routine urethral dilatation and 59 had neither procedure. Internal urethrotomy, and to a lesser extent urethral dilatation, resulted in prompt return of spontaneous and efficient micturition following removal of the Foley catheter on the third postoperative day. The postoperative stay averaged 6-4 days in the urethrotomy group of patients, 7-6 days in those who had urethral dilatation and 10-6 days in the others. The two-year cure rate in the patients who had neither procedure performed was 85 per cent and as yet no failures have occurred in the patients who had internal urethrotomy or urethral dilatation performed.	No specific gene was perturbed in vivo
952785	<TITLE>Treatment and survival in 631 patients with invasive carcinoma of the cervix.</TITLE>From 1951 to 1972, a total of 631 cases of invasive carcinoma of the cervix were diagnosed in Frederiksberg, Copenhagen, Denmark. Treatment was either by surgery or radiotherapy, a combination of both being rarely used. The crude five-year survival rates were 99 per cent in stage Ia, 79 per cent in stage Ib, 67 per cent in stage IIa, 45 per cent in stage IIb, 23 per cent in stage III, 5 per cent in stage IV and 63 per cent for all stages. The relative survival rates were respectively 100 per cent, 81 per cent, 73 per cent, 48 per cent, 26 per cent, 5 per cent and 66 per cent. Radical hysterectomy were found more effective than radiotherapy in stage Ib carcinoma of the cervix. This difference was not explained by age but other factors possibly playing a role are considered. The combination of surgery and radiotherapy is discussed and only seems indicated for patients with stage Ib carcinoma and lymph node metastases.	No specific gene was perturbed in vivo
1119875	<TITLE>Traumatic injuries to the duodenum: a report of 98 patients.</TITLE>Data of 98 patients who had sustained traumatic injuries to the duodenum during a recent 7-year period is reviewed. The overall mortality was 23.5%; that of the blunt injury group was 35%, that of the penetrating injury group was 20%. However, after the establishment of a trauma unit, the mortality for duodenal injuries fell from 32% to 12%. Death from duodenal wounds may be reduced by earlier hospitalization, earlier diagnosis and consequently earlier surgical repair. Vigorous treatment of shock is essential. A specialized trauma unit with personnel experienced in the management of shock and trauma problems provides a better environment to carry out the preoperative and postoperative care of the acutely injured patient. Adequate surgical treatment of the blunt injury and missile injury of the duodenum should consist of the following procedures: 1) repair of the duodenal wall utilizing conventional techniques; 2) internal decompression of the repair by afferent jejunostomy; 3) efferent jejunostomy for postoperative feeding; 4) temporary gastrostomy; and 5) external drainage of the repair. In certain selected instances, the simple stab wound of the duodenum may be treated by conventional repair without decompression, but a loop of jujunum should be sutured over the repair to prevent delayed disruption. The majority of patients with injuries to the duodenum have associated organs injured which also require considered surgical judgment and action.	No specific gene was perturbed in vivo
1132081	<TITLE>Mechanism of vascular hyperresponsiveness in the spontaneously hypertensive rat.</TITLE>Hyperresponsiveness of resistance vessels has been described in various vascular beds of spontaneously hypertensive rats perfused with artificial medium. This change has been attributed to altered vascular dimensions secondary to the development of hypertension. To test the possibility that true changes in sensitivity might contribute independently to vasoconstrictor hyperresponsiveness in spontaneously hypertensive rats, threshold vasoconstrictor doses of norepinephrine and barium chloride were determined in denervated hindquarters of rats perfused at constant flow with autologous blood. Threshold constrictor responses to norepinephrine were elicited in the hypertensive rats at concentrations averaging less than one-third that required in controls. Threshold vasoconstrictor concentrations of barium were not significantly different between the two groups. The ratio of norepinephrine/barium sensitivity was also significantly elevated in the hypertensive group. These data suggest that in the presence of a full humoral complement, excitability (barium sensitivity) in resistance vessels of spontaneously hypertensive rats is not altered, whereas the smooth muscle is hypersensitive to norepinephrine. Thus, it appears that changes in sensitivity as well as altered vascular geometry are important in the production of vascular hyperresponsiveness in the spontaneously hypertensive rat.	No specific gene was perturbed in vivo
1255271	<TITLE>Activity of L-cysteinesulfinate carboxy-lyase and persulfurase in livers of rats fed different levels of sulfate and cysteine.</TITLE>Activity of L-cysteinesulfinate carboxy-lyase (CSC) and persulfurase was measured in livers of rats fed 15% casein diets supplemented with (1) 0.53% cysteine, (2) 0.40% cysteine, (3) 0.40% cysteine + 0.10% sulfate, (4) 0.42% sulfate, or (5) 0.42% sulfate + 0.40% cysteine. The diets were fed to adult rats for 1 week and to weanling rats for periods of 1 and 4 weeks. At the end of each feeding period, the highest CSC activity was detected in livers from animals fed diet 4, but no differences in CSC activity were detected among livers from the other four groups. Persulfurase activity did not differ significantly among those weanling or adult rats fed the diets for 1 week but was lower among those fed diet 4 than diet 5 for 4 weeks. The acitivity patterns did not parallel those of taurine excretion or conjugation observed previously among rats fed the same diets, and may indicate that factors other than taurine synthesis and ingestion control those processes.	No specific gene was perturbed in vivo
1338113	<TITLE>Calcium-activated force in a turkey model of spontaneous dilated cardiomyopathy: adaptive changes in thin myofilament Ca2+ regulation with resultant implications on contractile performance.</TITLE>Using saponin skinned fibers, we investigated whether decreased myofilament calcium responsiveness and contractile activation may in part contribute to heart failure in an animal model of idiopathic spontaneous cardiomyopathy (SCM). We addressed the question as to whether there are adaptive changes at the level of the thin myofilaments in turkey poults with SCM. The calcium concentration ([Ca2+]) required for 50% activation ([Ca2+]50%) was 0.80 +/- 0.12 microM (n = 12) vs. 0.76 +/- 0.08 microM (n = 12) and the Hill coefficient was 1.98 +/- 0.20 (n = 12) vs. 2.14 +/- 0.38 (n = 12) for control and SCM muscles respectively. Maximal Ca(2+)-activated force was not different between control fibers and fibers from failing hearts (3.83 +/- 0.88 g/mm2 vs. 3.65 +/- 0.39 g/mm2). These data indicate there are no differences in calcium-activation between fibers from control and failing myocardium. The effects of caffeine, an agent that increases myofilament Ca2+ sensitivity, were also studied. Addition of 10 mM caffeine resulted in a 0.06 pCa unit leftward shift of the force-pCa relationship in control hearts and 0.14 pCa units in SCM hearts. Caffeine (30 mM) increased force by 26 +/- 2.1% (n = 7) in control fibers and 44.5 +/- 8.7% (n = 8) in myopathic fibers at a pCa of 6.0. The increased responsiveness of muscles from failing hearts to caffeine indicates adaptive changes at the level of the thin myofilaments. Addition of dibutyryl-3',5'-cyclic-Adenosine Monophosphate (D-cAMP) resulted in a 0.21 pCa rightward shift on the calcium axis to higher intracellular calcium concentrations in control myocardium and 0.38 pCa units in SCM failing myocardium. The muscles were also sinusoidally oscillated at frequencies ranging between 0.01 and 100 Hz. In this analysis the frequency at which dynamic stiffness is minimum is taken as a measure of cross-bridge cycling rate. In control muscles, the frequency of minimum stiffness (fmin) was 1.20 +/- 0.11 (n = 4) whereas it was 0.71 +/- 0.08 Hz (n = 4) in myopathic muscles. The addition of 10 microM D-cAMP shifted fmin from 1.20 +/- 0.11 Hz to 1.68 +/- 0.09 Hz (delta = 0.48 +/- 0.06) in control fibers whereas in SCM fibers it caused greater shift of fmin from 0.71 +/- 0.08 Hz to 1.73 +/- 0.08 Hz (delta = 1.02 +/- 0.07). This differential effect of D-cAMP indicates adaptive changes at the level of the myofilaments.(ABSTRACT TRUNCATED AT 400 WORDS)	No specific gene was perturbed in vivo
1450042	<TITLE>Response after withdrawal of tamoxifen and progestogens in advanced breast cancer.</TITLE>Tumor response after withdrawal of endocrine therapy for advanced breast cancer with estrogens and androgens is well described. There have been few reports of withdrawal responses (WRs) after cessation of treatment with the newer antiestrogens and progestogens. We assessed WR in women after cessation of adjuvant therapy at first relapse, and after progression on first, second or third line endocrine therapy for advanced disease. One of seven patients (14%) responded after cessation of tamoxifen adjuvant therapy at relapse. Sixty-five of 72 patients were evaluable for WR after cessation of tamoxifen as first line therapy for advanced disease. There were five partial responses (8%) and 14 (22%) 'no change' with a median duration of WR of 10 months (range 3-40 months). WR were seen mainly in soft tissue disease but there were two responses in lung and two in bone. Four of 21 (19%) patients had a WR after cessation of norethisterone acetate (3) and tamoxifen (1), all used as second line therapy. WR are therefore demonstrable after cessation of tamoxifen and norethisterone acetate with durations of response similar to those found with additive therapy. Assessment of WR may represent a way of prolonging the overall response duration in patients with relatively indolent metastatic breast cancer, particularly in soft tissues.	No specific gene was perturbed in vivo
1614310	<TITLE>Metabolic response of the human heart to inotropic stimulation: in vivo phosphorus-31 studies of normal and cardiomyopathic myocardium.</TITLE>In order to determine if an increase in myocardial oxygen consumption is accompanied by changes in high energy phosphates in normal subjects and patients with dilated cardiomyopathy, phosphorus-31 spectra were acquired under resting conditions and during dobutamine infusion. In seven normal subjects, dobutamine raised the rate-pressure product to 226% of control. The ratio of PCr/ATP was 1.86 +/- 0.17 (mean +/- SE) under resting conditions and 1.90 +/- 0.22 (P = 0.44) with dobutamine infusion. In eight patients with dilated cardiomyopathy, dobutamine raised the rate-pressure product to 161% of control. As in the normal subjects, the ratio of PCr/ATP under resting conditions (1.63 +/- 0.24) was unchanged during dobutamine infusion (1.57 +/- 0.24, P = 0.38). These data indicate that increases in cardiac work do not have a major effect on high energy phosphate concentrations in normal subjects or in patients with clinically compensated dilated cardiomyopathy.	No specific gene was perturbed in vivo
1654315	<TITLE>Rumen protected fat in kline barley or corn diets for beef cattle: digestibility, physiological, and feedlot responses.</TITLE>A rumen protected fat product composed of Ca salts of fatty acids (CAF) was evaluated in beef cattle diets. Dietary treatments in a metabolism trial (six steers, 251 +/- 15 kg) and Feedlot Trial 1 (15 individually fed heifers, 355 +/- 11 kg) consisted of 62.1% corn and 3.2% soybean meal (C), 32.6% corn and 33.1% Kline barley (CB), and 28.2% corn, 33.1% barley, and 4.5% CAF (CBF) on a DM basis. Apparent DM and OM digestibilities were higher (P less than .05) and NDF digestibility was lower (P less than .05) for C than for CB and CBF. Apparent ether extract digestibility was higher (P less than .01) for CBF than for CB. Retention of N was higher (P less than .05) for C than for CB and CBF. On d 42, Feedlot Trial 1 ruminal fluid acetate:propionate ratio was lower (P less than .01) for C than for CB and CBF, and the ratio was lower (P less than .01) for CB than for CBF. Treatments did not affect (P less than .10) ADG and DMI of heifers, but feed/gain was lower (P less than .05) for C than for CB and CBF, and feed/gain was higher (P less than .05) for CBF than for CB. In Feedlot Trial 2, steers and heifers were fed the C diet or a 57% corn, 21.4% peanut hull, 4.1% soybean meal, and 4.5% CAF diet (CF) on an ad libitum basis for 50 d. Ruminal fluid acetate and propionate were unaffected (P greater than .10) by dietary treatments. Cattle ADG tended to be lower (P greater than .10), DMI was lower (P less than .05), and feed/gain tended to be improved (P greater than .10) for CF compared with C. Kline barley has potential as a feed grain for cattle, but CAF may not improve beef cattle performance, especially when diets contain barley.	No specific gene was perturbed in vivo
1711459	<TITLE>Differential regulation of the insulin-like growth factors (IGF-I and -II) and IGF binding proteins during malnutrition in the neonatal rat.</TITLE>Insulin-like growth factor (IGF)-I and -II are known to play a major role in fetal and early postnatal growth. The IGF binding proteins (IGFBPs) are thought to be important in modulating the actions of the IGFs. In this paper, the effect of malnutrition in the neonatal rat on serum IGFs and IGFBPs and hepatic IGFBP messenger (m) RNA was examined. Control (C) dams (n = 9) were allowed ad libitum intake, whereas restricted (R) dams (n = 9) were limited to 50% of ad libitum intake throughout lactation, which results in decreased milk production and malnutrition of pups suckling on restricted dams. A subset of pups were cross-fostered from the R-dams to the C-dams from days 15-19 postpartum (PP) to investigate the effect of nutritional repletion (refed). Pups were killed on days 8, 12, 15, and 19 PP and liver and blood collected. Serum IGF-I and -II concentrations were measured by RIA after acid-chromatography to remove IGFBPs. Serum IGFBPs were characterized by Western ligand blot. Hepatic mRNA for IGFBP-1, -2, and -3 were determined by northern analysis. Body weight (BW) of R-pups was significantly less than C-pups by day 10 PP (P less than or equal to 0.05), and mean BW at day 19 was 56% of the C-pups. Refeeding from days 15-19 resulted in a significantly greater rate of growth vs. R-pups (3.2 vs. 0.9 g/day), and mean BW of refed pups at day 19 PP was 75% of C-pups. Malnutrition caused a significant reduction in both serum IGF-I and -II after day 12 PP, while causing an elevation in serum IGFBP-2. IGFBP-1 and IGFBP-2 mRNA expression were not significantly affected at days 8 and 12, but were elevated in livers of day 15 and 19 pups. Malnutrition caused a delay in the development shift from IGFBP-2 to IGFBP-3, which normally occurs between day 15 and 19 in the rat. Refeeding raised serum IGF-I and -II levels to those found in the C-pups and a trend toward normalization of IGFBP profiles. In conclusion, IGFs and IGFBPs are differentially regulated during neonatal malnutrition. The decrease in IGF peptide and induction of IGFBP-1 and -2 may provide protective mechanisms by inhibiting growth during malnutrition.	No specific gene was perturbed in vivo
1712924	<TITLE>Subarachnoid and intracerebral hemorrhage associated with necrotizing angiitis due to methamphetamine abuse--an autopsy case.</TITLE>The authors report an autopsy case of methamphetamine-related intracranial hemorrhage and vasculitis. A 22-year-old female was comatose after an intravenous injection of an unknown dose of methamphetamine. Computed tomographic scans demonstrated massive subarachnoid hemorrhage and hematoma in the corpus callosum. Cerebral angiography revealed nonfilling of bilateral intracranial carotid arteries and extravasation of contrast medium from the right pericallosal artery which was visualized retrogradely via the vertebral artery. Postmortem studies found cerebral edema, subarachnoid, intraventricular, and intracerebral hemorrhage, and intracranial vasculitis, but no aneurysm or arteriovenous malformation. Necrosis of vessel walls with destruction of the smooth muscle layer, but no leukocytotic infiltration of the vessel walls were observed in all major cerebral arteries. The hemorrhage probably resulted from medial necrosis in the large intracerebral vessels, and a sudden drug-induced rise in blood pressure.	No specific gene was perturbed in vivo
1727113	<TITLE>Daily monitoring and correction of radiation field placement using a video-based portal imaging system: a pilot study.</TITLE>We have developed a video-based portal imaging system for radiotherapy localization. The system can acquire high quality portal images automatically using short (1-3 monitor unit) irradiations and immediately display the images. The major advantage of the imaging system is that it can be used routinely to check and correct patient positioning before much of the daily irradiation has been delivered. The portal imaging system has been used in a pilot study to monitor five patients during each of their daily treatments. The study has shown that: (i) image quality is sufficiently high to detect discrepancies in field placement from that prescribed on the simulator film; (ii) discrepancies in field placement occur frequently; and, (iii) routine correction of patient and block positioning can reduce the size of these discrepancies. This is the first time that field placement in radiation therapy has been checked and corrected routinely, before the treatment irradiation. However, limitations in the size of the field of view and in the methods of extracting and presenting the geometric information to the users limits the clinical utility of the imaging system. Solutions to these limitations are currently under development.	No specific gene was perturbed in vivo
1805661	<TITLE>Effect of the infraorbital nerve transection on the sensory input subsystem in the masticatory system of newborn mice.</TITLE>To confirm a hypothetical idea that the masticatory system will play a fundamental function in the postnatal growth of the body, the centripetal mastication-related information flowing in the system was interrupted by cutting the infraorbital nerve on the newborn mice. The sham- and axotomy-operation mice were returned to their mother. 20 days after the operation the sensory input unit was studied in the serial frontal section histologically. On the other hand the body weight was measured every 5 days after the operation and the significant level was examined statistically. The results obtained are as follows: 1) The sensory input units (primary and secondary sensory neurons) have completely reduced to disappear in situ. 2) The significant differences between both groups were seen at the level of P less than 0.001 from the period of 20-day after the operation. In comparison with that of the sham-operation mice, the axotomy-operation mice have decreased about 20 to 30% in the body weight and so reduced in shape, characterized by the smaller head, a shorter trunk and limbs and a shorter, thinner tail. The experimental data suggest that the centripetal mastication-related information plays an important role in the postnatal growth of the masticatory system and the other functional systems of the body.	No specific gene was perturbed in vivo
1812197	<TITLE>An analysis of success and failure of apicoectomies.</TITLE>The radiographs from 715 patient charts were analyzed to study the effect of 11 factors on the success and failure of apicoectomies. Of these, 424 had recall radiographs of 6 months or more and were evaluated for changes in radiolucencies. The data were analyzed by cross-tabulation and chi-square analysis for significant relationships. Complete healing was found in 65% of the recall cases, while incomplete and unsatisfactory healing occurred in 29.4% and 5.6% of the cases, respectively. Complete healing was found to increase with patient age. Those over 60 yr of age had the highest percentage of complete healing. No statistical difference in healing was found between maxillary and mandibular teeth. Also, postsurgical healing associated with those teeth which were inadequately obturated with gutta-percha, silver points, or paste-filling materials did not differ significantly. No significant difference in healing was found between the teeth that were retreated nonsurgically before surgery and those that were not. Healing was independent of the placement of a retrofilling as well as the type of retrofilling period. Significantly better healing was seen with teeth that were permanently restored following surgery.	No specific gene was perturbed in vivo
1899279	<TITLE>Dual effect of osmotic cell swelling on prolactin secretion by acutely dispersed adenohypophyseal cells.</TITLE>Cell swelling induced by acute exposure to the permeant molecule urea or by medium hyposmolarity evoked a prompt PRL secretory burst from dispersed rat anterior pituitary cells. However, during continuous exposure greater than or equal to 10 min to these conditions inhibition of basal and TRH-induced PRL secretion occurred and there was an "off" burst of PRL secretion following return to basal conditions. Compared with continuous TRH stimulation which causes biphasic PRL secretion with a rapid high amplitude first phase secretory burst followed by a sustained low level second phase of secretion, cell swelling induced only "first phase" secretion. Removing Ca2+ from the medium or adding 50 microM verapamil markedly depressed the "off" secretory burst following return to basal conditions but had no effect on the initial high amplitude burst. Our data suggest that the effect of cell swelling on PRL secretion is complex and that there are at least two mechanisms for PRL secretion in normal anterior pituitary cells; these are differently affected by cell swelling and Ca2+ influx.	No specific gene was perturbed in vivo
1902874	<TITLE>Regulation of plasminogen activator activity in arthritic joints.</TITLE>The plasminogen activator (PA)/plasmin system has been implicated in the inflammation and connective tissue remodelling occurring in arthritic joints. PA activity is detected in cultures of human monocytes, synoviocytes and chondrocytes and can be regulated by a variety of cytokines found in diseased joints; PA inhibitors (PAI-1 and/or PAI-2) are also produced by these cells. We have shown that human monocytes can synthesize both urokinase-type PA (u-PA) and tissue-type PA (t-PA). One cytokine present in rheumatoid synovial fluids, granulocyte macrophage colony stimulating factor (GM-CSF), stimulates monocyte u-PA production; since this cytokine can also be produced by activated monocytes and other cell types in joints, than a "CSF network" can be produced leading to u-PA production. Another monocyte cytokine, interleukin 1, causes human synoviocytes to increase their u-PA expression, a response which can be dependent on the presence of endogenous cyclooxygenase products; this cytokine also causes human chondrocytes and cartilage tissue to produce increased u-PA and t-PA activity, i.e., under conditions during which cartilage is resorbed.	No specific gene was perturbed in vivo
